Name,Country,Reigon,Depth (in meters),Depth (in feet),Depth^2/area
Baikal, Russia,Siberia,1642,5387,9.22×10−6
Tanganyika," Tanzania, Democratic Republic of the Congo, Burundi, Zambia",East Africa,1470,4823,8.1×10−6
Caspian sea," Iran, Russia, Turkmenistan, Kazakhstan, Azerbaijan",,1025,3363,1.68×10−6
Vostok, Antarctica,,~1000,~3300,8.94×10−6
O'Higgins-San Martín," Chile, Argentina","Aysén (Chile), Santa Cruz (Argentina)",836,2742,2.63×10−5
Malawi/Nyasa/Niassa," Mozambique, Malawi, Tanzania",,706,2316,4.1×10−6
Issyk Kul, Kyrgyzstan,,668,2192,8.46×10−6
Great Slave, Canada,Northwest Territories,614,2015,3.72×10−6
Crater, United States,Oregon,594,1949,8.16×10−5
Matano, Indonesia,South Sulawesi,590,1936,4.61×10−5
General Carrera-Buenos Aires," Chile,  Argentina",,586,1923,1.36×10−5
Hornindalsvatnet, Norway,Vestland,514,1686,7.2×10−5
Quesnel, Canada,British Columbia,511,1677,3.13×10−5
Toba, Indonesia,Sumatra,505,1657,1.5×10−5
Sarez, Tajikistan,,505,1657,5.66×10−5
Tahoe, United States,"California, Nevada",501,1645,2.26×10−5
Argentino, Argentina,Santa Cruz (Patagonia),500,1640,1.33×10−5
Kivu," Democratic Republic of the Congo,  Rwanda",,480,1575,9.24×10−6
Salsvatnet, Norway,Trøndelag,464,1523,6.93×10−5
Nahuel Huapi, Argentina,"Rio Negro, Patagonia",464,1523,2.02×10−5
Hauroko, New Zealand,Southland (South Island),462,1516,5.82×10−5
Cochrane / Pueyrredón[6]," Chile,  Argentina","Aysén (Chile), Santa Cruz (Argentina)",460,1509,2.55×10−5
Lake Tinn, Norway,Vestfold og Telemark,460,1509,6.41×10−5
Adams, Canada,British Columbia,457,1499,3.9×10−5
Chelan, United States,Washington (state),453,1486,3.9×10−5
Van[7], Turkey,,451,1480,7.36×10−6
Poso, Indonesia,Sulawesi,450,1476,2.5×10−5
Fagnano," Argentina,  Chile",Tierra del Fuego,449,1473,1.77×10−5
Great Bear, Canada,Northwest Territories,446,1463,2.53×10−6
Manapouri, New Zealand,Southland (South Island),444,1457,3.73×10−5
Mjøsa, Norway,"Hedmark, Oppland and Viken",443.5,1455,2.33×10−5
Como, Italy,Lombardy,425,1394,3.52×10−5
Te Anau, New Zealand,Southland (South Island),425,1390,2.29×10−5
Tazawa, Japan,Akita Prefecture,423,1387,8.31×10−5
Wakatipu, New Zealand,South Island,420,1378,2.47×10−5
Superior, Canada,"Ontario, Michigan, Minnesota, Wisconsin",406,1332,1.42×10−6
